date,price_index,metro_price_index,permits,construction_spending,vacant_units,year_quarter
2003-01-01,129.321,4.2,1806.333333,421328.6667,14908,2003Q1
2003-01-04,131.756,3.833333333,1837.666667,429308.6667,15244,2003Q1
2003-01-07,135.013,3.633333333,1937.333333,458890,15614,2003Q1
2003-01-10,138.8356667,3.966666667,1972.333333,491437.3333,15654,2003Q1
2004-01-01,143.2986667,3.7,1994.666667,506856.3333,15895,2004Q1
2004-01-04,148.209,3.9,2080,526483.3333,16079,2004Q1
2004-01-07,152.7166667,4.3,2069.666667,552939,15656,2004Q1
2004-01-10,157.5353333,4.1,2086,561413.3333,15361,2004Q1
2005-01-01,163.4813333,4.266666667,2105,590790.3333,15748,2005Q1
2005-01-04,169.3473333,4.266666667,2137.666667,611957,16061,2005Q1
2005-01-07,174.58,4.466666667,2228.333333,642273.6667,15883,2005Q1
2005-01-10,179.5393333,4.8,2169.333333,670433,15823,2005Q1
2006-01-01,183.3243333,5.766666667,2157,680067.3333,16234,2006Q1
2006-01-04,183.9973333,6.266666667,1923.333333,639389,16513,2006Q1
2006-01-07,182.8193333,6.9,1713.333333,591320.6667,16769,2006Q1
2006-01-10,183.6493333,6.8,1581,558263.6667,16894,2006Q1
2007-01-01,184.422,7.666666667,1606.666667,539003.6667,17724,2007Q1
2007-01-04,181.6213333,7.8,1456.666667,521924,17547,2007Q1
2007-01-07,178.2613333,8.9,1314.333333,488432.3333,18049,2007Q1
2007-01-10,175.37,9.166666667,1188.333333,439296,17910,2007Q1
2008-01-01,171.5756667,9.833333333,1025,400027.3333,18642,2008Q1
2008-01-04,166.6723333,10.56666667,1061,388045.3333,18701,2008Q1
2008-01-07,161.9543333,10.9,858.6666667,360447.6667,18651,2008Q1
2008-01-10,156.0286667,11.4,638.6666667,319480,18973,2008Q1
2009-01-01,150.06,11.23333333,538.6666667,276721.3333,19137,2009Q1
2009-01-04,147.9113333,9.5,559.3333333,246953.3333,18752,2009Q1
2009-01-07,148.237,7.733333333,606.6666667,257975,18996,2009Q1
2009-01-10,147.97,7.666666667,623.3333333,263932.3333,19006,2009Q1
2010-01-01,146.295,7.833333333,657.6666667,263516.3333,19126,2010Q1
2010-01-04,146.1713333,7.933333333,599.6666667,262938.3333,19022,2010Q1
2010-01-07,143.973,8.433333333,574,251115.3333,18933,2010Q1
2010-01-10,142.254,7.8,583.3333333,248572.6667,18551,2010Q1
2011-01-01,140.618,7.533333333,567,250635,18998,2011Q1
2011-01-04,139.9243333,6.633333333,611.6666667,254937.3333,18843,2011Q1
